order_id,customer_id,hub_id,hub_latitude,hub_longitude,latitude,longitude,weight_kg,created_at,status
O001,KH001,H01,10.98,106.65,10.987429,106.62503,1.78,2026-08-21 07:34:00,PENDING
O002,KH002,H01,10.98,106.65,10.996609,106.629738,2.05,2026-08-21 07:39:00,PENDING
O003,KH003,H01,10.98,106.65,10.9954,106.625574,2.33,2026-08-21 07:43:00,PENDING
O004,KH004,H01,10.98,106.65,10.995012,106.626038,1.1,2026-08-21 07:48:00,PENDING
O005,KH005,H01,10.98,106.65,10.926485,106.649468,0.75,2026-08-21 07:50:00,PENDING
O006,KH006,H01,10.98,106.65,10.995777,106.627222,2.2,2026-08-21 07:54:00,PENDING
O007,KH007,H01,10.98,106.65,10.990767,106.623172,3.0,2026-08-21 07:59:00,PENDING
O008,KH008,H01,10.98,106.65,10.995662,106.630996,1.78,2026-08-21 08:02:00,PENDING
O009,KH009,H01,10.98,106.65,10.957677,106.660076,1.85,2026-08-21 08:07:00,PENDING
O010,KH010,H01,10.98,106.65,10.954489,106.669518,2.26,2026-08-21 08:12:00,PENDING
O011,KH011,H01,10.98,106.65,10.964696,106.697084,1.42,2026-08-21 08:15:00,PENDING
O012,KH012,H01,10.98,106.65,10.954067,106.663785,1.96,2026-08-21 08:19:00,PENDING
O013,KH013,H01,10.98,106.65,10.959407,106.664105,2.51,2026-08-21 08:24:00,PENDING
O014,KH014,H01,10.98,106.65,10.959505,106.663778,1.81,2026-08-21 08:27:00,PENDING
O015,KH015,H01,10.98,106.65,10.955768,106.670787,1.78,2026-08-21 08:30:00,PENDING
O016,KH016,H01,10.98,106.65,10.955906,106.66819,2.55,2026-08-21 08:36:00,PENDING
O017,KH017,H01,10.98,106.65,11.022001,106.655484,2.29,2026-08-21 08:39:00,PENDING
O018,KH018,H01,10.98,106.65,11.00464,106.679785,1.07,2026-08-21 08:42:00,PENDING
O019,KH019,H01,10.98,106.65,11.00652,106.679482,1.67,2026-08-21 08:48:00,PENDING
O020,KH020,H01,10.98,106.65,11.002012,106.678825,3.0,2026-08-21 08:52:00,PENDING
O021,KH021,H01,10.98,106.65,11.008598,106.680023,1.7,2026-08-21 08:55:00,PENDING
O022,KH022,H01,10.98,106.65,11.004197,106.677532,1.17,2026-08-21 08:58:00,PENDING
O023,KH023,H01,10.98,106.65,10.917593,106.672498,2.9,2026-08-21 09:04:00,PENDING
O024,KH024,H01,10.98,106.65,10.945123,106.633319,1.0,2026-08-21 09:08:00,PENDING
O025,KH025,H01,10.98,106.65,10.939827,106.635135,2.57,2026-08-21 09:11:00,PENDING
O026,KH026,H01,10.98,106.65,10.940694,106.639887,2.58,2026-08-21 09:15:00,PENDING
O027,KH027,H01,10.98,106.65,10.939492,106.638743,1.6,2026-08-21 09:20:00,PENDING
O028,KH028,H01,10.98,106.65,11.016763,106.613487,1.63,2026-08-21 09:22:00,PENDING
O029,KH029,H01,10.98,106.65,10.945607,106.639109,1.7,2026-08-21 09:26:00,PENDING
O030,KH030,H01,10.98,106.65,10.941783,106.639839,1.43,2026-08-21 09:30:00,PENDING
